序号,买入时间,卖出时间,买入价,卖出价,收益率%,持仓小时,累计收益%
1,2022-01-03 23:00,2022-01-04 05:30,46413.4,46151.1,-0.565,6.5,-0.57
2,2022-01-04 13:00,2022-01-05 01:30,46877.3,46114.5,-1.627,12.5,-2.18
3,2022-01-05 15:30,2022-01-06 00:30,46615.4,43681.1,-6.295,9.0,-8.34
4,2022-01-06 15:00,2022-01-07 07:00,42864.4,41611.1,-2.924,16.0,-11.02
5,2022-01-07 22:30,2022-01-08 10:30,41540.2,41916.8,0.907,12.0,-10.21
6,2022-01-09 10:00,2022-01-09 22:00,41544.2,42439.0,2.154,12.0,-8.28
7,2022-01-10 08:00,2022-01-10 12:30,41910.5,40942.1,-2.311,4.5,-10.4
8,2022-01-11 01:00,2022-01-11 17:00,41803.8,42384.7,1.39,16.0,-9.15
9,2022-01-12 07:00,2022-01-12 16:30,42531.4,43615.5,2.549,9.5,-6.84
10,2022-01-12 22:30,2022-01-13 07:00,43840.4,43709.0,-0.3,8.5,-7.12
11,2022-01-13 22:00,2022-01-14 05:30,42795.0,42889.1,0.22,7.5,-6.91
12,2022-01-14 13:00,2022-01-15 12:00,42234.8,42949.9,1.693,23.0,-5.34
13,2022-01-16 00:00,2022-01-16 10:30,43080.4,42917.5,-0.378,10.5,-5.7
14,2022-01-16 21:00,2022-01-17 07:30,42968.4,42652.8,-0.734,10.5,-6.39
15,2022-01-17 22:30,2022-01-18 09:00,42080.1,41791.7,-0.685,10.5,-7.03
16,2022-01-18 10:30,2022-01-18 22:00,41930.0,42387.0,1.09,11.5,-6.02
17,2022-01-19 05:30,2022-01-19 16:00,41766.0,41834.6,0.164,10.5,-5.86
18,2022-01-20 02:30,2022-01-20 11:00,41990.7,42085.5,0.226,8.5,-5.65
19,2022-01-20 17:00,2022-01-21 02:30,43236.9,39840.0,-7.856,9.5,-13.06
20,2022-01-21 19:00,2022-01-22 09:30,38238.2,34824.5,-8.927,14.5,-20.82
21,2022-01-22 20:00,2022-01-23 18:30,34930.7,34956.6,0.074,22.5,-20.76
22,2022-01-24 13:00,2022-01-25 14:00,33519.5,36596.4,9.179,25.0,-13.49
23,2022-01-26 02:00,2022-01-26 12:00,36906.4,37824.2,2.487,10.0,-11.34
24,2022-01-26 18:30,2022-01-27 01:00,37961.5,36668.1,-3.407,6.5,-14.36
25,2022-01-27 15:30,2022-01-28 06:30,36644.0,36923.3,0.762,15.0,-13.71
26,2022-01-28 16:30,2022-01-28 22:00,37110.1,37811.4,1.89,5.5,-12.08
27,2022-01-29 04:30,2022-01-29 15:30,37818.0,37562.0,-0.677,11.0,-12.67
28,2022-01-30 05:00,2022-01-30 16:30,38189.9,37835.8,-0.927,11.5,-13.48
29,2022-01-31 10:00,2022-02-01 08:00,37203.9,38564.0,3.656,22.0,-10.32
30,2022-02-02 00:00,2022-02-02 11:00,38761.0,38512.9,-0.64,11.0,-10.89
